,Title,Tomatometer,Audience score,Rating,Genre,Original Language,Director,Producer,Writer,Release Date (Theaters),Release Date (Streaming),Runtime,Production Co,Aspect Ratio,Sound Mix,Box Office (Gross USA),View the collection
3678,Max,38%,70%,PG(BriefLanguage|Action/Violence|Peril|SomeThematicElements),"adventure,drama",English,BoazYakin,"KarenRosenfelt,KenBlancato","BoazYakin,SheldonLettich","Jun26,2015 wide","Jun28,2016",1h51m,SunsweptEntertainment,Scope(2.35:1),,$42.7M,
3679,Tu Dors Nicole,100%,66%,,drama,French(Canada),StéphaneLaFleur,LucDéry,StéphaneLaFleur,,"Feb9,2017",1h33m,,,,,
3680,Before We Go,27%,56%,PG-13(SomeSuggestiveComments|BriefStrongLanguage),"romance,comedy,drama",English,ChrisEvans,"ChrisEvans,MarkKassen,McG,MaryViola,KarenEliseBaldwin","RonaldBass,JenSmolka,ChrisShafer,PaulVicknair","Sep4,2015 limited","Aug18,2016",1h35m,WonderlandSoundandVision,,,$37.0K,
3681,Seymour: An Introduction,100%,78%,PG(SomeMildThematicElements),documentary,English,EthanHawke,"GregLoser,HeatherSmith,RyanHawke",,"Mar13,2015 limited","Dec5,2016",1h21m,"UndertheInfluenceProductions,Room5Films",,,$580.0K,
3682,Do I Sound Gay?,81%,47%,,documentary,English,DavidThorpe,"HowardGertler,DavidThorpe",,"Jul10,2015 limited","Mar31,2017",1h17m,"ImpactPartners,LittlePunk",,,$57.0K,
3683,Mr. Dynamite: The Rise Of James Brown,100%,86%,,,,AlexGibney,,,,,,,,,,
3684,She's Funny That Way,44%,35%,R(SomeLanguage|SexualReferences),romance,English,PeterBogdanovich,"LoganLevy,HollyWiersma,LouiseStratten,GeorgeDrakoulias","PeterBogdanovich,LouiseStratten","Aug21,2015 limited","Aug23,2016",1h33m,"LailapsPictures,LagniappeFilms,ThreepointCapital,VentureForth,HollyWiersma",,DolbyDigital,$106.4K,
3685,Toy Story That Time Forgot,100%,82%,,,,StevePurcell(II),,,,"Jun1,2018",,,,,,Pixar
3686,"One Cut, One Life",100%,36%,,biography,English,"EdPincus,LuciaSmall","MaryKerr,EdPincus,LuciaSmall","EdPincus,LuciaSmall",,"Mar18,2017",1h47m,,,,$8.7K,
3687,Elf: Buddy's Musical Christmas,89%,42%,,,,MarkCaballero,,,,"Jul24,2018",,,,,,
